cont_id,part_id,hh_id,sday_part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_school,cnt_work,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,location
1,1,HH1,1,31,19,34,F,1,0,0,,,0,,1,,house
2,1,HH1,1,,35,59,M,1,0,0,,,0,,2,,house
3,1,HH1,1,12,6,12,M,1,0,0,,,0,,1,,house
4,1,HH1,1,5,1,5,M,1,0,0,,,0,,1,,house
5,1,HH1,1,,,,"",,,,,,,,,,other
6,1,HH1,2,31,19,34,F,1,0,0,,,0,,1,,house
7,1,HH1,2,36,35,59,M,1,0,0,,,0,,1,,house
8,1,HH1,2,12,6,12,M,1,0,0,,,0,,1,,house
9,1,HH1,2,5,1,5,M,1,0,0,,,0,,1,,house
10,2,HH2,1,55,35,59,F,1,0,0,,,0,,1,,house
11,2,HH2,1,60,60,105,M,1,0,0,,,0,,1,,house
12,2,HH2,1,7,6,12,M,1,0,0,,,0,,1,,house
13,2,HH2,1,33,19,34,F,1,0,0,,,0,,2,,house
14,2,HH2,1,30,19,34,F,1,0,0,,,0,,2,,house
15,2,HH2,1,3,1,5,M,1,0,0,,,0,,2,,house
16,2,HH2,1,45,35,59,M,1,0,0,,,0,,1,,house
17,2,HH2,1,50,35,59,F,0,0,0,,,1,,1,,other
18,2,HH2,1,54,35,59,F,0,0,0,,,1,,1,,other
19,2,HH2,1,31,19,34,M,1,0,0,,,0,,1,,house
20,2,HH2,1,,19,34,M,0,0,0,,,1,,2,,other
21,2,HH2,1,7,6,12,F,1,0,0,,,0,,2,,house
22,2,HH2,1,20,19,34,F,0,0,0,,,1,,2,,other
23,2,HH2,1,12,6,12,F,0,0,0,,,1,,1,,other
24,2,HH2,1,11,6,12,F,1,0,0,,,0,,1,,house
25,2,HH2,1,,13,18,F,0,0,0,,,1,,2,,other
26,2,HH2,1,60,60,105,F,0,0,0,,,1,,1,,other
27,2,HH2,1,52,35,59,M,0,0,0,,,1,,2,,other
28,2,HH2,1,,19,34,F,1,0,0,,,0,,2,,house
29,2,HH2,1,,19,34,M,0,0,0,,,1,,2,,other
30,2,HH2,2,55,35,59,F,1,0,0,,,0,,1,,house
31,2,HH2,2,60,60,105,M,,,,,,,,1,,other
32,2,HH2,2,31,19,34,M,,,,,,,,2,,other
33,2,HH2,2,7,6,12,M,,,,,,,,1,,other
34,2,HH2,2,,19,34,M,0,0,0,,,1,,2,,other
35,2,HH2,2,,35,59,M,0,0,0,,,1,,2,,other
36,2,HH2,2,,6,12,M,0,0,0,,,1,,2,,other
37,2,HH2,2,,1,5,F,0,0,0,,,1,,2,,other
38,2,HH2,2,,1,5,M,0,0,0,,,1,,2,,other
39,2,HH2,2,42,35,59,F,0,0,0,,,1,,1,,other
40,2,HH2,2,11,6,12,F,0,0,0,,,1,,2,,other
41,2,HH2,2,10,6,12,F,0,0,0,,,1,,2,,other
42,2,HH2,2,9,6,12,M,0,0,0,,,1,,1,,other
43,3,HH3,1,37,35,59,F,1,0,0,,,0,,2,,house
44,3,HH3,1,43,35,59,M,1,0,0,,,0,,2,,house
45,3,HH3,1,6,6,12,M,1,0,0,,,0,,1,,house
46,3,HH3,1,10,6,12,M,0,0,0,,,1,,1,,other
47,3,HH3,2,37,35,59,F,1,0,0,,,0,,2,,house
48,3,HH3,2,43,35,59,M,1,0,0,,,0,,2,,house
49,3,HH3,2,6,6,12,M,1,0,0,,,0,,1,,house
50,3,HH3,2,9,6,12,M,0,0,0,,,1,,1,,other
51,3,HH3,2,11,6,12,M,0,0,0,,,1,,1,,other
52,3,HH3,2,10,6,12,M,1,0,0,,,0,,1,,house
53,4,HH4,1,28,19,34,F,1,0,0,,,0,,1,,house
54,4,HH4,1,4,1,5,M,1,0,0,,,0,,1,,house
55,4,HH4,1,9,6,12,F,1,0,0,,,0,,1,,house
56,4,HH4,1,21,19,34,M,1,0,0,,,0,,1,,house
57,4,HH4,1,59,35,59,F,1,0,0,,,0,,1,,house
58,4,HH4,1,36,35,59,M,1,0,0,,,0,,2,,house
59,4,HH4,1,29,19,34,F,1,0,0,,,0,,1,,house
60,4,HH4,1,12,6,12,M,1,0,0,,,0,,1,,house
61,4,HH4,1,16,13,18,F,0,0,0,,,1,,1,,other
62,4,HH4,1,13,13,18,M,0,0,0,,,1,,1,,other
63,4,HH4,1,6,6,12,"",1,0,0,,,0,,1,,house
64,4,HH4,1,30,19,34,F,0,0,0,,,1,,1,,other
65,4,HH4,2,28,19,34,F,1,0,0,,,0,,1,,house
66,4,HH4,2,9,6,12,F,1,0,0,,,0,,1,,house
67,4,HH4,2,4,1,5,M,1,0,0,,,0,,1,,house
68,4,HH4,2,21,19,34,M,1,0,0,,,0,,1,,house
69,4,HH4,2,6,6,12,F,1,0,0,,,0,,1,,house
70,4,HH4,2,59,35,59,F,0,0,0,,,1,,1,,other
71,4,HH4,2,13,13,18,M,0,0,0,,,1,,1,,other
72,4,HH4,2,5,1,5,F,1,0,0,,,0,,1,,house
73,4,HH4,2,13,13,18,M,0,0,0,,,1,,1,,other
74,4,HH4,2,29,35,59,F,1,0,0,,,0,,2,,house
75,4,HH4,2,36,35,59,M,0,0,0,,,1,,2,,other
76,4,HH4,2,16,13,18,F,1,0,0,,,0,,1,,house
77,4,HH4,2,,,,"",,,,,,,,,,other
78,5,HH5,1,34,19,34,F,1,0,0,,,0,,1,,house
79,5,HH5,1,10,6,12,M,1,0,0,,,0,,1,,house
80,5,HH5,1,36,35,59,F,1,0,0,,,0,,1,,house
81,5,HH5,1,39,35,59,M,1,0,0,,,0,,1,,house
82,5,HH5,1,13,13,18,M,1,0,0,,,0,,1,,house
83,5,HH5,1,10,6,12,F,1,0,0,,,0,,1,,house
84,5,HH5,1,3,1,5,F,1,0,0,,,0,,1,,house
85,5,HH5,1,,35,59,M,1,0,0,,,0,,2,,house
86,5,HH5,1,,35,59,M,1,0,0,,,0,,2,,house
87,5,HH5,1,,19,34,M,1,0,0,,,0,,2,,house
88,5,HH5,1,,19,34,F,1,0,0,,,0,,2,,house
89,5,HH5,2,34,19,34,F,1,0,0,,,0,,1,,house
90,5,HH5,2,39,35,59,M,1,0,0,,,0,,1,,house
91,5,HH5,2,36,35,59,F,1,0,0,,,0,,1,,house
92,5,HH5,2,13,13,18,M,1,0,0,,,0,,1,,house
93,5,HH5,2,10,6,12,M,1,0,0,,,0,,1,,house
94,5,HH5,2,10,6,12,F,1,0,0,,,0,,1,,house
95,5,HH5,2,3,1,5,F,1,0,0,,,0,,1,,house
96,5,HH5,2,,19,34,M,0,0,1,,,0,,2,,other
97,5,HH5,2,,19,34,F,0,0,1,,,0,,2,,other
98,5,HH5,2,,35,59,F,0,0,1,,,0,,2,,other
99,5,HH5,2,,35,59,M,0,0,1,,,0,,2,,other
100,5,HH5,2,,35,59,M,0,0,1,,,0,,2,,other
101,5,HH5,2,,19,34,M,0,0,1,,,0,,2,,other
102,5,HH5,2,,19,34,M,0,0,1,,,0,,2,,other
103,6,HH6,1,29,19,34,F,1,0,0,,,0,,2,,house
104,6,HH6,1,39,35,59,F,1,0,0,,,0,,2,,house
105,6,HH6,1,12,6,12,M,1,0,0,,,0,,2,,house
106,6,HH6,1,5,1,5,M,1,0,0,,,0,,1,,house
107,6,HH6,1,5,1,5,F,1,0,0,,,0,,1,,house
108,6,HH6,1,35,35,59,M,1,0,0,,,0,,2,,house
109,6,HH6,1,34,19,34,F,1,0,0,,,0,,1,,house
110,6,HH6,1,52,35,59,M,1,0,0,,,0,,2,,house
111,6,HH6,1,49,35,59,F,,,,,,,,2,,other
112,6,HH6,1,35,35,59,F,,,,,,,,1,,other
113,6,HH6,1,60,60,105,F,,,,,,,,2,,other
114,6,HH6,1,18,13,18,"",0,0,0,,,1,,1,,other
115,6,HH6,1,13,13,18,"",0,0,0,,,1,,1,,other
116,6,HH6,2,39,35,59,F,1,0,0,,,0,,2,,house
117,6,HH6,2,41,35,59,M,1,0,0,,,0,,2,,house
118,6,HH6,2,13,13,18,M,1,0,0,,,0,,1,,house
119,6,HH6,2,6,6,12,M,1,0,0,,,0,,1,,house
120,6,HH6,2,29,19,34,F,1,0,0,,,0,,1,,house
121,6,HH6,2,18,13,18,F,1,0,0,,,0,,1,,house
122,6,HH6,2,37,35,59,F,1,0,0,,,0,,2,,house
123,6,HH6,2,16,13,18,F,1,0,0,,,0,,1,,house
124,7,HH7,1,,1,5,F,1,0,0,,,0,,2,,house
125,7,HH7,1,,1,5,F,1,0,0,,,0,,2,,house
126,7,HH7,1,,1,5,F,1,0,0,,,0,,2,,house
127,7,HH7,1,9,6,12,M,1,0,0,,,0,,1,,house
128,7,HH7,1,,13,18,F,1,0,0,,,0,,2,,house
129,7,HH7,1,,13,18,F,1,0,0,,,0,,2,,house
130,7,HH7,1,0,0,0,F,1,0,0,,,0,,1,,house
131,7,HH7,1,,,,F,1,0,0,,,0,,2,,house
132,7,HH7,1,4,1,5,F,1,0,0,,,0,,1,,house
133,7,HH7,1,3,1,5,F,1,0,0,,,0,,1,,house
134,7,HH7,1,11,6,12,F,1,0,0,,,0,,1,,house
135,7,HH7,2,,6,12,F,1,0,0,,,0,,2,,house
136,7,HH7,2,,1,5,F,1,0,0,,,0,,2,,house
137,7,HH7,2,,1,5,F,1,0,0,,,0,,2,,house
138,7,HH7,2,9,6,12,M,1,0,0,,,0,,1,,house
139,7,HH7,2,,6,12,F,1,0,0,,,0,,2,,house
140,7,HH7,2,,6,12,F,1,0,0,,,0,,2,,house
141,7,HH7,2,,1,5,F,1,0,0,,,0,,2,,house
142,7,HH7,2,14,13,18,F,1,0,0,,,0,,1,,house
143,7,HH7,2,30,19,34,F,1,0,0,,,0,,1,,house
144,7,HH7,2,,1,5,F,,,,,,,,2,,other
145,7,HH7,2,11,6,12,F,1,0,0,,,0,,1,,house
146,7,HH7,2,4,1,5,F,1,0,0,,,0,,1,,house
147,7,HH7,2,40,35,59,M,1,0,0,,,0,,1,,house
148,7,HH7,2,,6,12,F,1,0,0,,,0,,,,house
149,8,HH8,1,7,6,12,F,0,0,0,,,1,,1,,other
150,8,HH8,1,30,19,34,F,1,0,0,,,0,,2,,house
151,8,HH8,1,5,1,5,F,1,0,0,,,0,,1,,house
152,8,HH8,1,,13,18,F,1,0,0,,,0,,2,,house
153,8,HH8,1,,35,59,F,0,0,0,,,1,,2,,other
154,8,HH8,1,,13,18,M,0,0,0,,,1,,2,,other
155,8,HH8,1,,13,18,M,0,0,0,,,1,,2,,other
156,8,HH8,1,42,35,59,M,1,0,0,,,0,,2,,house
157,8,HH8,1,10,6,12,M,0,0,0,,,1,,1,,other
158,8,HH8,2,5,1,5,F,1,0,0,,,0,,1,,house
159,8,HH8,2,,35,59,F,1,0,0,,,0,,2,,house
160,8,HH8,2,30,19,34,F,1,0,0,,,0,,2,,house
161,8,HH8,2,7,6,12,F,1,0,0,,,0,,1,,house
162,8,HH8,2,,13,18,M,0,0,0,,,1,,2,,other
163,8,HH8,2,42,35,59,F,1,0,0,,,0,,2,,house
164,8,HH8,2,,35,59,M,0,0,0,,,1,,2,,other
165,8,HH8,2,,6,12,M,0,0,0,,,1,,2,,other
166,8,HH8,2,,6,12,M,0,0,0,,,1,,1,,other
167,8,HH8,2,,19,34,M,0,0,0,,,1,,1,,other
168,8,HH8,2,,19,34,F,0,0,0,,,1,,2,,other
169,9,HH9,1,29,19,34,M,1,0,0,,,0,,1,,house
170,9,HH9,1,45,35,59,M,0,0,0,,,1,,1,,other
171,9,HH9,1,35,35,59,M,0,0,0,,,1,,1,,other
172,9,HH9,1,28,19,34,F,1,0,0,,,0,,2,,house
173,9,HH9,1,40,35,59,M,1,0,0,,,0,,2,,house
174,9,HH9,1,56,35,59,M,0,0,0,,,1,,1,,other
175,9,HH9,1,4,1,5,M,1,0,0,,,0,,2,,house
176,9,HH9,1,3,1,5,F,1,0,0,,,0,,2,,house
177,9,HH9,1,3,1,5,M,1,0,0,,,0,,2,,house
178,9,HH9,2,35,35,59,M,1,0,0,,,0,,2,,house
179,9,HH9,2,32,19,34,M,0,0,0,,,1,,2,,other
180,9,HH9,2,28,19,34,F,0,0,0,,,1,,2,,other
181,9,HH9,2,3,1,5,M,1,0,0,,,0,,2,,house
182,9,HH9,2,54,35,59,M,0,0,0,,,1,,2,,other
183,9,HH9,2,52,35,59,M,0,0,0,,,1,,2,,other
184,9,HH9,2,3,1,5,F,1,0,0,,,0,,2,,house
185,9,HH9,2,7,6,12,M,1,0,0,,,0,,2,,house
186,10,HH10,1,,19,34,F,0,0,1,,,0,,1,,other
187,10,HH10,1,,1,5,F,0,0,1,,,0,,1,,other
188,10,HH10,1,,35,59,M,0,0,1,,,0,,2,,other
189,10,HH10,1,,19,34,M,0,0,1,,,0,,1,,other
190,10,HH10,1,,35,59,M,0,0,1,,,0,,1,,other
191,10,HH10,1,,60,105,M,0,0,1,,,0,,1,,other
192,10,HH10,1,,60,105,F,0,0,1,,,0,,2,,other
193,10,HH10,1,,13,18,F,1,0,0,,,0,,1,,house
194,10,HH10,1,,35,59,M,1,0,0,,,0,,2,,house
195,10,HH10,1,,35,59,M,1,0,0,,,0,,1,,house
196,10,HH10,1,,19,34,M,,,,,,,,2,,other
197,10,HH10,2,,19,34,F,1,0,0,,,0,,2,,house
198,10,HH10,2,,6,12,M,1,0,0,,,0,,1,,house
199,10,HH10,2,,19,34,F,1,0,0,,,0,,1,,house
200,10,HH10,2,,60,105,M,1,0,0,,,0,,2,,house
201,10,HH10,2,,60,105,F,0,0,1,,,0,,1,,other
202,10,HH10,2,,13,18,F,0,0,1,,,0,,2,,other
203,10,HH10,2,,13,18,F,0,0,1,,,0,,2,,other
204,10,HH10,2,,35,59,M,0,0,1,,,0,,1,,other
205,11,HH11,1,8,6,12,M,1,0,0,,,0,,,,house
206,11,HH11,1,32,19,34,M,1,0,0,,,0,,,,house
207,11,HH11,1,30,19,34,F,1,0,0,,,0,,,,house
208,11,HH11,2,30,19,34,F,1,0,0,,,0,,,,house
209,11,HH11,2,32,19,34,M,1,0,0,,,0,,,,house
210,11,HH11,2,8,6,12,M,1,0,0,,,0,,,,house
211,11,HH11,2,6,6,12,F,0,0,0,,,1,,,,other
212,12,HH12,1,13,13,18,F,1,0,0,,,0,,1,,house
213,12,HH12,1,36,35,59,F,1,0,0,,,0,,1,,house
214,12,HH12,1,6,6,12,F,0,0,0,,,1,,1,,other
215,12,HH12,2,13,13,18,F,1,0,0,,,0,,1,,house
216,12,HH12,2,6,6,12,F,0,0,0,,,1,,2,,other
217,12,HH12,2,36,35,59,F,1,0,0,,,0,,2,,house
218,13,HH13,1,26,19,34,F,1,0,0,,,0,,1,,house
219,13,HH13,1,36,35,59,F,0,0,0,,,1,,2,,other
220,13,HH13,1,35,35,59,M,0,0,0,,,1,,2,,other
221,13,HH13,1,30,19,34,M,1,0,0,,,0,,1,,house
222,13,HH13,1,40,35,59,M,1,0,0,,,0,,1,,house
223,13,HH13,1,57,35,59,F,0,0,0,,,1,,2,,other
224,13,HH13,1,65,60,105,F,0,0,0,,,1,,2,,other
225,13,HH13,1,30,19,34,M,0,0,0,,,1,,2,,other
226,13,HH13,1,23,19,34,M,1,0,0,,,0,,1,,house
227,13,HH13,1,40,35,59,F,1,0,0,,,0,,1,,house
228,13,HH13,1,25,19,34,F,1,0,0,,,0,,1,,house
229,13,HH13,1,45,35,59,M,0,0,0,,,1,,2,,other
230,13,HH13,1,,35,59,F,1,0,0,,,0,,1,,house
231,13,HH13,1,,6,12,F,1,0,0,,,0,,2,,house
232,13,HH13,1,,6,12,F,1,0,0,,,0,,2,,house
233,13,HH13,1,,19,34,F,0,0,0,,,1,,2,,other
234,13,HH13,1,26,19,34,M,1,0,0,,,0,,1,,house
235,13,HH13,2,28,19,34,F,1,0,0,,,0,,1,,house
236,13,HH13,2,20,19,34,F,1,0,0,,,0,,1,,house
237,13,HH13,2,10,6,12,M,1,0,0,,,0,,2,,house
238,13,HH13,2,,13,18,M,1,0,0,,,0,,2,,house
239,13,HH13,2,,19,34,F,1,0,0,,,0,,2,,house
240,13,HH13,2,,13,18,F,1,0,0,,,0,,2,,house
241,13,HH13,2,,6,12,M,1,0,0,,,0,,2,,house
242,13,HH13,2,,13,18,F,1,0,0,,,0,,2,,house
243,13,HH13,2,,35,59,F,1,0,0,,,0,,2,,house
244,13,HH13,2,,35,59,F,1,0,0,,,0,,2,,house
245,13,HH13,2,,19,34,M,1,0,0,,,0,,1,,house
246,13,HH13,2,8,6,12,F,1,0,0,,,0,,1,,house
247,13,HH13,2,,35,59,M,0,0,0,,,1,,2,,other
248,13,HH13,2,,19,34,M,,,,,,,,,,other
249,14,HH14,1,51,35,59,F,1,0,0,,,0,,2,,house
250,14,HH14,1,17,13,18,F,0,0,0,,,1,,2,,other
251,14,HH14,1,63,60,105,F,0,0,0,,,1,,1,,other
252,14,HH14,1,58,35,59,F,1,0,0,,,0,,1,,house
253,14,HH14,1,14,13,18,F,1,0,0,,,0,,1,,house
254,14,HH14,1,7,6,12,M,1,0,0,,,0,,1,,house
255,14,HH14,1,13,13,18,F,1,0,0,,,0,,1,,house
256,14,HH14,1,18,13,18,M,1,0,0,,,0,,1,,house
257,14,HH14,1,72,60,105,M,0,0,0,,,1,,1,,other
258,14,HH14,1,18,13,18,M,0,0,0,,,1,,2,,other
259,14,HH14,1,54,35,59,F,0,0,0,,,1,,1,,other
260,14,HH14,1,55,35,59,F,0,0,0,,,1,,1,,other
261,14,HH14,1,82,60,105,M,1,0,0,,,0,,1,,house
262,14,HH14,2,24,19,34,F,0,0,0,,,1,,2,,other
263,14,HH14,2,72,60,105,M,0,0,0,,,1,,2,,other
264,14,HH14,2,32,19,34,F,0,0,0,,,1,,2,,other
265,14,HH14,2,55,35,59,M,0,0,0,,,1,,2,,other
266,14,HH14,2,59,35,59,M,0,0,0,,,1,,1,,other
267,14,HH14,2,59,35,59,M,0,0,0,,,1,,2,,other
268,14,HH14,2,18,13,18,M,0,0,0,,,1,,1,,other
269,14,HH14,2,49,35,59,F,0,0,0,,,1,,2,,other
270,14,HH14,2,36,35,59,F,0,0,0,,,1,,1,,other
271,14,HH14,2,45,35,59,F,0,0,0,,,1,,1,,other
272,15,HH15,1,,19,34,F,1,0,0,,,0,,2,,house
273,15,HH15,1,,13,18,M,0,1,0,,,0,,2,,other
274,15,HH15,1,,6,12,F,0,1,0,,,0,,2,,other
275,15,HH15,1,,19,34,F,0,1,0,,,0,,2,,other
276,15,HH15,1,,35,59,M,1,0,0,,,0,,2,,house
277,15,HH15,1,,35,59,M,1,0,0,,,0,,2,,house
278,15,HH15,2,,13,18,F,0,1,0,,,0,,1,,other
279,15,HH15,2,,6,12,F,0,1,0,,,0,,2,,other
280,15,HH15,2,,13,18,M,0,1,0,,,0,,2,,other
281,15,HH15,2,,13,18,F,0,1,0,,,0,,2,,other
282,15,HH15,2,,13,18,F,0,1,0,,,0,,2,,other
283,16,HH16,1,35,35,59,F,0,0,0,,,1,,2,,other
284,16,HH16,1,25,19,34,M,0,0,0,,,1,,1,,other
285,16,HH16,1,36,35,59,F,0,0,0,,,1,,1,,other
286,16,HH16,1,35,35,59,F,0,0,0,,,1,,2,,other
287,16,HH16,1,26,19,34,M,0,0,0,,,1,,2,,other
288,16,HH16,1,70,60,105,M,0,0,0,,,1,,1,,other
289,16,HH16,1,35,35,59,F,0,0,0,,,1,,2,,other
290,16,HH16,1,32,19,34,M,0,0,0,,,1,,1,,other
291,16,HH16,1,42,35,59,F,0,0,0,,,1,,1,,other
292,16,HH16,1,49,35,59,M,0,0,0,,,1,,1,,other
293,16,HH16,1,65,60,105,F,0,0,0,,,1,,2,,other
294,16,HH16,1,28,19,34,M,0,0,0,,,1,,2,,other
295,16,HH16,1,32,19,34,F,0,0,0,,,1,,2,,other
296,16,HH16,1,22,19,34,F,0,0,0,,,1,,1,,other
297,16,HH16,1,,19,34,F,0,0,0,,,1,,1,,other
298,16,HH16,1,15,13,18,M,0,0,0,,,1,,1,,other
299,16,HH16,1,12,6,12,M,0,0,0,,,1,,1,,other
300,16,HH16,1,9,6,12,F,0,0,0,,,1,,1,,other
301,16,HH16,1,,60,105,M,0,0,0,,,1,,1,,other
302,16,HH16,1,32,19,34,F,0,0,0,,,1,,1,,other
303,16,HH16,1,10,6,12,"",0,0,0,,,1,,1,,other
304,16,HH16,1,,35,59,"",0,0,0,,,1,,1,,other
305,16,HH16,1,60,60,105,"",0,0,0,,,1,,2,,other
306,16,HH16,1,36,35,59,M,0,0,0,,,1,,2,,other
307,16,HH16,1,,19,34,"",0,0,0,,,1,,2,,other
308,16,HH16,1,,19,34,"",0,0,0,,,1,,1,,other
309,16,HH16,1,,19,34,F,1,0,0,,,0,,2,,house
310,16,HH16,1,45,35,59,F,1,0,0,,,0,,1,,house
311,16,HH16,1,,35,59,M,1,0,0,,,0,,1,,house
312,16,HH16,1,,19,34,F,1,0,0,,,0,,1,,house
313,16,HH16,2,,35,59,M,0,0,0,,,1,,2,,other
314,16,HH16,2,18,13,18,F,0,0,0,,,1,,1,,other
315,16,HH16,2,6,6,12,F,0,0,0,,,1,,1,,other
316,16,HH16,2,0,0,0,F,0,0,0,,,1,,1,,other
317,16,HH16,2,,35,59,F,0,0,0,,,1,,1,,other
318,16,HH16,2,,35,59,M,0,0,0,,,1,,1,,other
319,16,HH16,2,29,19,34,F,1,0,0,,,0,,1,,house
320,16,HH16,2,,35,59,F,0,0,0,,,1,,2,,other
321,16,HH16,2,,35,59,M,0,0,0,,,1,,2,,other
322,16,HH16,2,,19,34,M,0,0,0,,,1,,1,,other
323,16,HH16,2,,60,105,F,0,0,0,,,1,,1,,other
324,16,HH16,2,,35,59,F,0,0,0,,,1,,2,,other
325,16,HH16,2,,35,59,F,0,0,0,,,1,,1,,other
326,17,HH17,1,30,19,34,F,1,0,0,,,0,,1,,house
327,17,HH17,1,25,19,34,F,1,0,0,,,0,,2,,house
328,17,HH17,1,31,19,34,M,1,0,0,,,0,,2,,house
329,17,HH17,1,,1,5,M,0,0,0,,,1,,2,,other
330,17,HH17,1,,13,18,M,0,0,0,,,1,,2,,other
331,17,HH17,1,,19,34,F,0,0,0,,,1,,2,,other
332,17,HH17,1,,13,18,M,0,0,0,,,1,,2,,other
333,17,HH17,2,25,19,34,F,1,0,0,,,0,,1,,house
334,17,HH17,2,31,19,34,M,1,0,0,,,0,,1,,house
335,17,HH17,2,,1,5,M,0,0,0,,,1,,2,,other
336,17,HH17,2,,0,0,M,1,0,0,,,0,,2,,house
337,17,HH17,2,,6,12,F,0,0,0,,,1,,2,,other
338,17,HH17,2,,6,12,M,,,,,,,,2,,other
339,17,HH17,2,,35,59,M,0,0,0,,,1,,2,,other
340,18,HH17,1,25,19,34,F,1,0,0,,,0,,1,,house
341,18,HH17,1,25,19,34,F,1,0,0,,,0,,1,,house
342,18,HH17,1,,19,34,M,1,0,0,,,0,,2,,house
343,18,HH17,1,,19,34,M,1,0,0,,,0,,2,,house
344,18,HH17,1,30,35,59,M,1,0,0,,,0,,2,,house
345,18,HH17,1,,35,59,F,1,0,0,,,0,,2,,house
346,18,HH17,1,,19,34,M,1,0,0,,,0,,2,,house
347,18,HH17,1,,35,59,M,1,0,0,,,0,,2,,house
348,18,HH17,1,,19,34,F,1,0,0,,,0,,2,,house
349,18,HH17,1,,35,59,M,1,0,0,,,0,,2,,house
350,18,HH17,1,,19,34,M,1,0,0,,,0,,2,,house
351,18,HH17,1,,35,59,F,1,0,0,,,0,,2,,house
352,18,HH17,1,,35,59,M,1,0,0,,,0,,2,,house
353,18,HH17,2,25,19,34,F,1,0,0,,,0,,1,,house
354,18,HH17,2,31,19,34,M,1,0,0,,,0,,1,,house
355,18,HH17,2,20,19,34,F,1,0,0,,,0,,1,,house
356,18,HH17,2,3,1,5,F,1,0,0,,,0,,1,,house
357,19,HH18,1,48,35,59,F,,,,,,,,,,other
358,19,HH18,2,48,35,59,F,1,0,0,,,0,,1,,house
359,19,HH18,2,17,13,18,M,1,0,0,,,0,,1,,house
360,19,HH18,2,,,,"",,,,,,,,,,other
361,20,HH19,1,58,35,59,M,1,0,0,,,0,,1,,house
362,20,HH19,1,53,35,59,M,1,0,0,,,0,,2,,house
363,20,HH19,1,5,1,5,M,0,0,0,,,1,,1,,other
364,20,HH19,1,34,19,34,F,0,0,0,,,1,,1,,other
365,20,HH19,1,7,6,12,F,1,0,0,,,0,,2,,house
366,20,HH19,1,10,6,12,F,0,0,0,,,1,,2,,other
367,20,HH19,1,5,1,5,F,0,0,0,,,1,,2,,other
368,20,HH19,2,28,19,34,F,1,0,0,,,0,,1,,house
369,20,HH19,2,36,35,59,M,0,0,0,,,1,,1,,other
370,20,HH19,2,62,60,105,F,0,0,0,,,1,,1,,other
371,20,HH19,2,58,35,59,F,0,0,0,,,1,,1,,other
372,20,HH19,2,59,35,59,F,0,0,0,,,1,,1,,other
373,20,HH19,2,24,19,34,F,0,0,0,,,1,,1,,other
374,20,HH19,2,50,35,59,F,0,0,0,,,1,,1,,other
375,20,HH19,2,56,35,59,M,0,0,0,,,1,,1,,other
376,20,HH19,2,58,35,59,F,0,0,0,,,1,,1,,other
377,20,HH19,2,1,1,5,F,1,0,0,,,0,,1,,house
378,20,HH19,2,25,19,34,F,1,0,0,,,0,,1,,house
379,20,HH19,2,19,19,34,F,1,0,0,,,0,,1,,house
380,20,HH19,2,19,19,34,F,1,0,0,,,0,,1,,house
381,20,HH19,2,28,19,34,M,0,0,0,,,1,,1,,other
382,20,HH19,2,58,35,59,M,1,0,0,,,0,,1,,house
383,21,HH20,1,48,35,59,M,1,0,0,,,0,,2,,house
384,21,HH20,1,43,35,59,F,1,0,0,,,0,,1,,house
385,21,HH20,1,23,19,34,M,1,0,0,,,0,,1,,house
386,21,HH20,1,16,13,18,F,1,0,0,,,0,,2,,house
387,21,HH20,1,52,35,59,M,1,0,0,,,0,,2,,house
388,21,HH20,1,49,35,59,M,1,0,0,,,0,,2,,house
389,21,HH20,1,60,60,105,M,1,0,0,,,0,,2,,house
390,21,HH20,1,46,35,59,F,1,0,0,,,0,,2,,house
391,21,HH20,1,45,35,59,F,1,0,0,,,0,,2,,house
392,21,HH20,1,22,19,34,M,1,0,0,,,0,,2,,house
393,21,HH20,1,23,19,34,M,1,0,0,,,0,,1,,house
394,21,HH20,1,55,35,59,F,1,0,0,,,0,,2,,house
395,21,HH20,1,44,35,59,F,1,0,0,,,0,,2,,house
396,21,HH20,1,53,35,59,F,1,0,0,,,0,,2,,house
397,21,HH20,2,43,35,59,F,1,0,0,,,0,,2,,house
398,21,HH20,2,44,35,59,M,1,0,0,,,0,,2,,house
399,21,HH20,2,46,35,59,F,1,0,0,,,0,,2,,house
400,21,HH20,2,74,60,105,M,1,0,0,,,0,,2,,house
401,21,HH20,2,23,19,34,M,0,0,0,,,1,,1,,other
402,21,HH20,2,21,19,34,M,0,0,0,,,1,,2,,other
403,21,HH20,2,30,19,34,F,1,0,0,,,0,,2,,house
404,21,HH20,2,22,19,34,M,1,0,0,,,0,,2,,house
405,21,HH20,2,36,35,59,M,1,0,0,,,0,,1,,house
406,21,HH20,2,40,35,59,F,1,0,0,,,0,,2,,house
407,21,HH20,2,45,35,59,F,1,0,0,,,0,,2,,house
408,21,HH20,2,51,35,59,F,1,0,0,,,0,,2,,house
409,21,HH20,2,55,35,59,M,1,0,0,,,0,,2,,house
410,21,HH20,2,21,19,34,M,0,0,0,,,1,,1,,other
411,21,HH20,2,20,19,34,M,0,0,0,,,1,,1,,other
412,21,HH20,2,22,19,34,M,0,0,0,,,1,,1,,other
413,21,HH20,2,23,19,34,M,0,0,0,,,1,,1,,other
414,21,HH20,2,19,19,34,M,0,0,0,,,1,,1,,other
